Order_ID,Order_Date,Order_Year,Order_Month,Customer_Name,Region,Category,Sales,Discount,Profit
CA-2013-108196,2013-Nov-26,2013,Nov,Cindy Stewart,East,Technology,4499.99,0.7,-6599.98
US-2014-168116,2014-Nov-05,2014,Nov,Grant Thornton,South,Technology,7999.98,0.5,-3839.99
CA-2011-169019,2011-Jul-26,2011,Jul,Luke Foster,Central,Office Supplies,2177.58,0.8,-3701.89
CA-2014-134845,2014-Apr-18,2014,Apr,Sharelle Roach,West,Technology,2549.99,0.7,-3399.98
US-2014-122714,2014-Dec-08,2014,Dec,Henry Goldwyn,Central,Office Supplies,1889.99,0.8,-2929.48
CA-2012-147830,2012-Dec-15,2012,Dec,Natalie Fritzler,East,Technology,1799.99,0.7,-2639.99
CA-2014-131254,2014-Nov-20,2014,Nov,Nathan Cano,Central,Office Supplies,1525.19,0.8,-2287.78
CA-2012-116638,2012-Jan-28,2012,Jan,Joseph Holt,South,Furniture,4297.64,0.4,-1862.31
CA-2013-130946,2013-Apr-09,2013,Apr,Zuschuss Carroll,Central,Office Supplies,1088.79,0.8,-1850.95
CA-2011-145317,2011-Mar-18,2011,Mar,Sean Miller,South,Technology,22638.48,0.5,-1811.08
US-2012-150630,2012-Sep-17,2012,Sep,Tracy Blumstein,East,Furniture,3083.43,0.5,-1665.05
CA-2011-165309,2011-Nov-11,2011,Nov,Karen Daniels,Central,Office Supplies,896.99,0.8,-1480.03
CA-2011-139892,2011-Sep-08,2011,Sep,Becky Martin,Central,Technology,8159.95,0.4,-1359.99
US-2014-120390,2014-Oct-20,2014,Oct,Tracy Hopkins,South,Office Supplies,1633.19,0.7,-1306.55
CA-2014-128363,2014-Aug-14,2014,Aug,Dan Campbell,South,Office Supplies,1614.58,0.7,-1237.85
CA-2012-140025,2012-Apr-07,2012,Apr,Peter Fuller,Central,Office Supplies,463.25,0.8,-1181.28
CA-2014-152093,2014-Sep-11,2014,Sep,Skye Norling,Central,Office Supplies,762.59,0.8,-1143.89
US-2014-148551,2014-Jan-13,2014,Jan,David Bremer,Central,Office Supplies,760.98,0.8,-1141.47
CA-2012-155600,2012-Dec-04,2012,Dec,Rose O'Brian,South,Office Supplies,1598.06,0.7,-1065.37
CA-2014-158379,2014-Sep-23,2014,Sep,Joseph Airdo,East,Office Supplies,4663.74,0.2,-1049.34
CA-2012-105571,2012-Nov-07,2012,Nov,Christine Phan,South,Office Supplies,1345.49,0.7,-1031.54
US-2014-162558,2014-Oct-03,2014,Oct,Dean percer,South,Furniture,2314.12,0.4,-1002.78
CA-2014-159100,2014-Oct-17,2014,Oct,Victoria Pisteka,South,Furniture,1875.26,0.4,-968.88
CA-2012-146262,2012-Jan-02,2012,Jan,Victoria Wilson,East,Technology,1188.00,0.7,-950.40
CA-2011-127299,2011-Sep-19,2011,Sep,John Lee,South,Technology,2624.99,0.5,-944.99
US-2013-157490,2013-Oct-07,2013,Oct,Laurel Beltran,West,Technology,703.71,0.7,-938.28
US-2014-165344,2014-Nov-14,2014,Nov,Sean Braxton,East,Technology,653.00,0.7,-935.96
CA-2012-141565,2012-Sep-20,2012,Sep,Barry Gonzalez,South,Office Supplies,1369.76,0.7,-913.18
CA-2013-107783,2013-Jul-29,2013,Jul,Olvera Toch,East,Office Supplies,1369.76,0.7,-913.18
CA-2013-109869,2013-Apr-23,2013,Apr,Tanja Norvell,West,Furniture,1272.63,0.5,-814.48
US-2012-103471,2012-Dec-24,2012,Dec,Jim Radford,West,Furniture,590.06,0.7,-786.74
CA-2013-103982,2013-Mar-04,2013,Mar,Alex Avila,Central,Office Supplies,3930.07,0.2,-786.01
US-2014-147221,2014-Dec-03,2014,Dec,Joy Smith,Central,Office Supplies,294.62,0.8,-766.01
CA-2013-158099,2013-Sep-04,2013,Sep,Paul Knutson,East,Office Supplies,1141.47,0.7,-760.98
CA-2011-108609,2011-Oct-31,2011,Oct,Anthony Jacobs,East,Furniture,1421.66,0.4,-734.53
CA-2013-132479,2013-Sep-25,2013,Sep,Michael Kennedy,Central,Office Supplies,442.37,0.8,-729.91
CA-2011-148383,2011-Dec-27,2011,Dec,Resi Pölking,West,Office Supplies,946.76,0.7,-694.29
CA-2014-142090,2014-Dec-01,2014,Dec,Shahid Collister,South,Furniture,1781.68,0.4,-653.28
US-2013-114013,2013-Mar-14,2013,Mar,Stewart Carmichael,East,Technology,449.10,0.7,-643.71
CA-2014-118892,2014-Aug-18,2014,Aug,Tom Prescott,East,Furniture,4416.17,0.3,-630.88
US-2014-110576,2014-Nov-29,2014,Nov,Ross Baird,East,Furniture,2065.32,0.4,-619.60
US-2011-115196,2011-Sep-09,2011,Sep,Daniel Lacy,South,Technology,1299.99,0.5,-572.00
